Epoch: 107, Loss: 0.2923, Val Acc: 0.8559
Epoch: 108, Loss: 0.2917, Val Acc: 0.8536
Epoch: 109, Loss: 0.2914, Val Acc: 0.8525
Epoch: 110, Loss: 0.2917, Val Acc: 0.8518
Epoch: 111, Loss: 0.2908, Val Acc: 0.8545
Epoch: 112, Loss: 0.2897, Val Acc: 0.8546
Epoch: 113, Loss: 0.2868, Val Acc: 0.8554
Epoch: 114, Loss: 0.2847, Val Acc: 0.8564
Epoch: 115, Loss: 0.2834, Val Acc: 0.8574
Epoch: 116, Loss: 0.2828, Val Acc: 0.8568
Epoch: 117, Loss: 0.2828, Val Acc: 0.8547
Epoch: 118, Loss: 0.2832, Val Acc: 0.8556
Epoch: 119, Loss: 0.2843, Val Acc: 0.8541
Epoch: 120, Loss: 0.2833, Val Acc: 0.8572
Epoch: 121, Loss: 0.2818, Val Acc: 0.8574
Epoch: 122, Loss: 0.2798, Val Acc: 0.8581
Epoch: 123, Loss: 0.2786, Val Acc: 0.8579
Epoch: 124, Loss: 0.2778, Val Acc: 0.8582
Epoch: 125, Loss: 0.2772, Val Acc: 0.8591
Epoch: 126, Loss: 0.2767, Val Acc: 0.8597
Epoch: 127, Loss: 0.2762, Val Acc: 0.8585
Epoch: 128, Loss: 0.2758, Val Acc: 0.8600
Epoch: 129, Loss: 0.2756, Val Acc: 0.8585
Epoch: 130, Loss: 0.2756, Val Acc: 0.8567
Epoch: 131, Loss: 0.2764, Val Acc: 0.8590
Epoch: 132, Loss: 0.2788, Val Acc: 0.8555
Epoch: 133, Loss: 0.2794, Val Acc: 0.8599
Epoch: 134, Loss: 0.2787, Val Acc: 0.8560
Epoch: 135, Loss: 0.2753, Val Acc: 0.8602
Epoch: 136, Loss: 0.2734, Val Acc: 0.8609
Epoch: 137, Loss: 0.2726, Val Acc: 0.8606
Epoch: 138, Loss: 0.2724, Val Acc: 0.8599
Epoch: 139, Loss: 0.2728, Val Acc: 0.8564
Epoch: 140, Loss: 0.2742, Val Acc: 0.8584
Epoch: 141, Loss: 0.2771, Val Acc: 0.8561
Epoch: 142, Loss: 0.2769, Val Acc: 0.8594
Epoch: 143, Loss: 0.2751, Val Acc: 0.8581
Epoch: 144, Loss: 0.2723, Val Acc: 0.8601
Epoch: 145, Loss: 0.2709, Val Acc: 0.8601
Epoch: 146, Loss: 0.2703, Val Acc: 0.8600
Epoch: 147, Loss: 0.2700, Val Acc: 0.8591
Epoch: 148, Loss: 0.2700, Val Acc: 0.8586
Epoch: 149, Loss: 0.2703, Val Acc: 0.8584
Epoch: 150, Loss: 0.2718, Val Acc: 0.8564
Test Accuracy (0.6 train): 0.8609
