Epoch: 108, Loss: 0.9096, Test Acc: 0.8142
Epoch: 109, Loss: 0.8521, Test Acc: 0.8196
Epoch: 110, Loss: 0.8291, Test Acc: 0.8347
Epoch: 111, Loss: 0.8287, Test Acc: 0.8354
Epoch: 112, Loss: 0.7960, Test Acc: 0.8407
Epoch: 113, Loss: 0.8094, Test Acc: 0.8275
Epoch: 114, Loss: 0.7982, Test Acc: 0.8124
Epoch: 115, Loss: 0.8653, Test Acc: 0.8446
Epoch: 116, Loss: 0.8365, Test Acc: 0.8234
Epoch: 117, Loss: 0.8785, Test Acc: 0.8219
Epoch: 118, Loss: 0.8401, Test Acc: 0.8326
Epoch: 119, Loss: 0.8103, Test Acc: 0.8192
Epoch: 120, Loss: 0.7542, Test Acc: 0.8402
Epoch: 121, Loss: 0.8253, Test Acc: 0.8383
Epoch: 122, Loss: 0.8293, Test Acc: 0.8397
Epoch: 123, Loss: 0.8365, Test Acc: 0.8419
Epoch: 124, Loss: 0.8345, Test Acc: 0.8139
Epoch: 125, Loss: 0.7716, Test Acc: 0.8070
Epoch: 126, Loss: 0.8013, Test Acc: 0.8293
Epoch: 127, Loss: 0.8229, Test Acc: 0.8231
Epoch: 128, Loss: 0.7933, Test Acc: 0.8147
Epoch: 129, Loss: 0.8869, Test Acc: 0.8448
Epoch: 130, Loss: 0.7055, Test Acc: 0.8407
Epoch: 131, Loss: 0.7373, Test Acc: 0.8161
Epoch: 132, Loss: 0.7466, Test Acc: 0.8142
Epoch: 133, Loss: 0.7452, Test Acc: 0.8116
Epoch: 134, Loss: 0.7524, Test Acc: 0.8261
Epoch: 135, Loss: 0.7385, Test Acc: 0.8364
Epoch: 136, Loss: 0.6916, Test Acc: 0.8437
Epoch: 137, Loss: 0.7698, Test Acc: 0.8284
Epoch: 138, Loss: 0.7772, Test Acc: 0.8089
Epoch: 139, Loss: 0.7402, Test Acc: 0.8323
Epoch: 140, Loss: 0.7177, Test Acc: 0.8152
Epoch: 141, Loss: 0.7408, Test Acc: 0.7968
Epoch: 142, Loss: 0.8084, Test Acc: 0.8317
Epoch: 143, Loss: 0.7100, Test Acc: 0.7971
Epoch: 144, Loss: 0.7533, Test Acc: 0.8150
Epoch: 145, Loss: 0.7439, Test Acc: 0.8418
Epoch: 146, Loss: 0.8036, Test Acc: 0.8354
Epoch: 147, Loss: 0.7378, Test Acc: 0.8235
Epoch: 148, Loss: 0.6991, Test Acc: 0.8025
Epoch: 149, Loss: 0.7249, Test Acc: 0.8215
Epoch: 150, Loss: 0.7065, Test Acc: 0.8286
Epoch: 151, Loss: 0.6474, Test Acc: 0.8391
Test Accuracy: 0.8386
